Mass (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
130,0.14433,0.05415,0.07384,0.10664,0.15765,0.22469
133,0.17545,0.04409,0.06037,0.0875,0.129,0.18415
136,0.19349,0.04106,0.05599,0.08086,0.11889,0.16899
139,0.17593,0.03898,0.05315,0.07676,0.11286,0.16042
142,0.06528,0.0369,0.05031,0.07266,0.10683,0.15185
145,0.07513,0.03514,0.04811,0.06973,0.1028,0.14589
148,0.07069,0.03461,0.0472,0.06816,0.09995,0.14188
151,0.05328,0.03333,0.04544,0.06562,0.09675,0.13731
154,0.05079,0.03218,0.04406,0.06387,0.09416,0.13363
157,0.07065,0.03159,0.04326,0.0627,0.09243,0.13118
160,0.07922,0.03076,0.0423,0.06152,0.09071,0.12873
164,0.09593,0.03144,0.04287,0.06191,0.09079,0.12925
168,0.09698,0.03248,0.04411,0.06348,0.09283,0.13157
172,0.10917,0.03293,0.0449,0.06484,0.09508,0.13457
176,0.13576,0.03452,0.04706,0.06797,0.09994,0.14122
180,0.1263,0.04027,0.05521,0.0793,0.11565,0.16319
184,0.07036,0.04897,0.0665,0.0957,0.13881,0.1941
188,0.06682,0.0566,0.07695,0.10977,0.15877,0.22098
192,0.06169,0.06686,0.09016,0.12773,0.18323,0.25296
196,0.08607,0.07054,0.09513,0.13477,0.19332,0.26689
200,0.08972,0.07292,0.09794,0.13828,0.19726,0.27225
204,0.08959,0.07218,0.09785,0.13789,0.1978,0.27221
209,0.17312,0.07107,0.09545,0.13477,0.19278,0.26569
214,0.08049,0.06839,0.09186,0.12969,0.18552,0.25649
219,0.06149,0.06441,0.08686,0.12305,0.17651,0.24523
224,0.08411,0.05982,0.08133,0.11602,0.16735,0.23182
229,0.1025,0.05868,0.07913,0.11211,0.16127,0.22372
234,0.11028,0.05582,0.07488,0.10664,0.15297,0.21253
239,0.08357,0.05217,0.07093,0.10117,0.14594,0.20342
244,0.07588,0.04837,0.06604,0.09453,0.13749,0.19197
250,0.06494,0.04733,0.06435,0.0918,0.13241,0.18457
256,0.06549,0.04471,0.06079,0.08672,0.12578,0.17588
262,0.09815,0.04351,0.05915,0.08438,0.12238,0.17113
268,0.12233,0.04189,0.05696,0.08125,0.11785,0.16479
274,0.11495,0.03868,0.05303,0.07617,0.11109,0.15582
280,0.13438,0.03798,0.05185,0.07422,0.10765,0.15145
286,0.06119,0.03726,0.05066,0.07227,0.10482,0.14747
293,0.06395,0.03422,0.04691,0.06738,0.09827,0.13867
300,0.07082,0.03318,0.0453,0.06484,0.09483,0.13361
307,0.09874,0.03188,0.04353,0.0623,0.09111,0.12838
314,0.07223,0.02985,0.0407,0.05879,0.08621,0.122
321,0.04841,0.02847,0.03881,0.05605,0.08264,0.11729
329,0.0355,0.02656,0.03652,0.05312,0.07832,0.11148
337,0.03426,0.02529,0.03478,0.05059,0.07458,0.10646
345,0.04565,0.02509,0.03421,0.04941,0.07246,0.10315
353,0.05158,0.02295,0.03156,0.0459,0.06785,0.09699
361,0.09642,0.02178,0.02994,0.04355,0.06474,0.09251
370,0.06245,0.02044,0.02823,0.04121,0.06142,0.08812
379,0.03568,0.01963,0.02699,0.03926,0.05866,0.08451
388,0.03694,0.01899,0.02597,0.03799,0.05661,0.08146
397,0.02905,0.01816,0.02483,0.03633,0.05414,0.07812
407,0.02632,0.01753,0.0241,0.03506,0.05225,0.07539
417,0.01708,0.01657,0.02275,0.0334,0.05004,0.07238
427,0.02371,0.01562,0.02154,0.03174,0.04781,0.0693
437,0.04075,0.01509,0.02081,0.03066,0.04606,0.06689
448,0.0391,0.01431,0.01993,0.0293,0.04424,0.06439
459,0.03066,0.01378,0.01908,0.02822,0.04262,0.06203
470,0.03575,0.01301,0.0182,0.02686,0.04077,0.05978
482,0.02584,0.01229,0.01717,0.02559,0.03895,0.05731
494,0.02818,0.01168,0.01649,0.02451,0.03751,0.0553
506,0.02757,0.01131,0.01587,0.02373,0.03622,0.05335
512,0.02522,0.01117,0.0156,0.02324,0.03556,0.05243
519,0.02393,0.0108,0.01515,0.02266,0.03476,0.05143
525,0.02032,0.01079,0.01508,0.02246,0.03437,0.0508
532,0.01416,0.0106,0.01481,0.02207,0.03386,0.0501
539,0.01376,0.01029,0.01434,0.02158,0.03302,0.04894
546,0.01513,0.00992,0.01399,0.021,0.03229,0.04795
553,0.01492,0.00969,0.01366,0.02051,0.03163,0.04711
560,0.01338,0.00943,0.01335,0.02012,0.0311,0.04626
567,0.01138,0.00925,0.01309,0.01973,0.0305,0.04547
574,0.01077,0.00909,0.01287,0.01938,0.02997,0.0448
581,0.01432,0.0089,0.01261,0.01899,0.02944,0.04393
589,0.02085,0.00879,0.01245,0.01875,0.02899,0.04333
596,0.02085,0.00842,0.0119,0.01812,0.02822,0.04228
604,0.01693,0.00828,0.01171,0.01782,0.02777,0.0416
612,0.01179,0.0081,0.01146,0.01743,0.02723,0.04092
620,0.00946,0.00788,0.01119,0.01709,0.02669,0.04032
628,0.00859,0.00783,0.01107,0.01685,0.02631,0.03974
636,0.00916,0.00769,0.01088,0.01655,0.02592,0.03908
644,0.01177,0.00745,0.01058,0.01616,0.02537,0.03819
653,0.01637,0.00719,0.01025,0.01572,0.02481,0.03757
661,0.01888,0.0071,0.01013,0.01553,0.0245,0.0371
670,0.01576,0.00707,0.01004,0.01533,0.02419,0.03663
679,0.01116,0.00695,0.00988,0.01509,0.02381,0.03605
688,0.01073,0.00672,0.00958,0.0147,0.02325,0.03548
697,0.01098,0.00643,0.00926,0.01431,0.02269,0.03456
707,0.01204,0.0062,0.00897,0.01392,0.02224,0.034
716,0.01464,0.00614,0.00885,0.01367,0.02185,0.03341
726,0.01543,0.00598,0.00866,0.01343,0.02146,0.03281
736,0.01192,0.00583,0.00838,0.01309,0.02091,0.03227
746,0.00944,0.00567,0.00825,0.01284,0.02062,0.03171
756,0.008,0.00563,0.0081,0.01265,0.02041,0.03141
767,0.00748,0.0055,0.008,0.01245,0.02009,0.03106
777,0.00715,0.00539,0.00779,0.01221,0.0197,0.03045
788,0.00676,0.00521,0.00762,0.01191,0.01923,0.02999
799,0.00681,0.00508,0.00738,0.01162,0.01894,0.02932
810,0.00704,0.00489,0.00717,0.01138,0.01854,0.02895
821,0.00679,0.00478,0.00702,0.01113,0.01814,0.02833
833,0.00634,0.00464,0.00683,0.01089,0.01792,0.02801
845,0.0063,0.00459,0.00677,0.01079,0.01767,0.02773
857,0.00658,0.00451,0.00665,0.0106,0.01744,0.02725
869,0.0063,0.00445,0.00656,0.01045,0.0172,0.02688
881,0.00611,0.00439,0.00647,0.0103,0.01696,0.02673
893,0.00604,0.0043,0.00634,0.01011,0.01663,0.02622
906,0.00598,0.00418,0.0062,0.00991,0.01639,0.02595
919,0.00607,0.00412,0.0061,0.00977,0.01615,0.02557
932,0.00658,0.00408,0.00604,0.00967,0.01607,0.02534
945,0.00826,0.00394,0.00587,0.00942,0.01566,0.0249
959,0.00936,0.00382,0.00568,0.00923,0.01541,0.0246
973,0.00915,0.00376,0.00559,0.00908,0.01516,0.02421
987,0.00764,0.00372,0.00557,0.00898,0.01507,0.02397
1001,0.00628,0.00368,0.00551,0.00889,0.01484,0.02369
1016,0.0062,0.00354,0.0053,0.00864,0.0145,0.02324
1046,0.00606,0.00341,0.00516,0.0084,0.01422,0.0228
1078,0.00603,0.00324,0.0049,0.00806,0.01371,0.02222
1111,0.00846,0.00298,0.00457,0.00762,0.01314,0.02144
1145,0.00917,0.00289,0.00446,0.00747,0.01289,0.02111
1181,0.00654,0.00281,0.00435,0.00728,0.01255,0.0207
1218,0.00558,0.00269,0.00415,0.00703,0.01224,0.02017
1257,0.00566,0.00255,0.00397,0.00679,0.01193,0.01975
1297,0.00559,0.00245,0.00384,0.00659,0.01169,0.01946
1339,0.00517,0.00241,0.00378,0.00649,0.01152,0.01917
1383,0.0051,0.00235,0.00371,0.0064,0.01134,0.01901
1429,0.00505,0.00231,0.00365,0.0063,0.01117,0.01884
1477,0.005,0.00221,0.00354,0.00615,0.01101,0.01853
1500,0.00498,0.00219,0.00351,0.0061,0.01092,0.01844
2000,0.00484,0.00185,0.00303,0.00552,0.01014,0.01673
2500,0.00492,0.00178,0.00297,0.00542,0.01022,0.01643
3000,0.00511,0.00177,0.00297,0.00552,0.01049,0.01673